Size_KB,Pattern,Stride_B,Run,Accesses,MeanLatency_ns,GBps
4096,sequential,1024,19,16384,3.50189,4.25517
4096,sequential,1024,20,16384,3.35185,4.44566
4096,random,1024,1,16384,2.93223,5.08185
4096,random,1024,2,16384,3.10771,4.79491
4096,random,1024,3,16384,2.93732,5.07305
4096,random,1024,4,16384,2.91951,5.10399
4096,random,1024,5,16384,2.91697,5.10844
4096,random,1024,6,16384,2.87374,5.18529
4096,random,1024,7,16384,3.89862,3.82216
4096,random,1024,8,16384,2.89917,5.1398
4096,random,1024,9,16384,2.9246,5.09511
4096,random,1024,10,16384,2.92714,5.09068
4096,random,1024,11,16384,2.91443,5.11289
4096,random,1024,12,16384,2.89154,5.15336
4096,random,1024,13,16384,2.9068,5.12631
4096,random,1024,14,16384,2.91697,5.10844
4096,random,1024,15,16384,2.91951,5.10399
4096,random,1024,16,16384,2.91189,5.11736
4096,random,1024,17,16384,2.90934,5.12183
4096,random,1024,18,16384,2.93223,5.08185
4096,random,1024,19,16384,2.89154,5.15336
4096,random,1024,20,16384,2.89154,5.15336
131072,sequential,64,1,8388608,1.76468,8.44409
131072,sequential,64,2,8388608,1.74705,8.52932
131072,sequential,64,3,8388608,1.78837,8.33227
131072,sequential,64,4,8388608,1.78738,8.33685
131072,sequential,64,5,8388608,1.98579,7.5039
131072,sequential,64,6,8388608,1.958,7.61039
131072,sequential,64,7,8388608,1.91694,7.77339
131072,sequential,64,8,8388608,1.81141,8.22628
131072,sequential,64,9,8388608,1.81838,8.19475
131072,sequential,64,10,8388608,1.76279,8.45318
131072,sequential,64,11,8388608,1.75229,8.50384
131072,sequential,64,12,8388608,1.85958,8.01321
131072,sequential,64,13,8388608,1.92411,7.74443
131072,sequential,64,14,8388608,1.89974,7.84377
131072,sequential,64,15,8388608,1.84089,8.09452
131072,sequential,64,16,8388608,1.74386,8.54491
131072,sequential,64,17,8388608,1.79701,8.29219
131072,sequential,64,18,8388608,1.75206,8.50492
131072,sequential,64,19,8388608,1.77344,8.4024
131072,sequential,64,20,8388608,1.75813,8.47556
131072,random,64,1,8388608,5.33577,2.79269
131072,random,64,2,8388608,5.33909,2.79096
131072,random,64,3,8388608,5.27587,2.8244
131072,random,64,4,8388608,5.19246,2.86977
131072,random,64,5,8388608,5.15996,2.88784
131072,random,64,6,8388608,5.17743,2.8781
131072,random,64,7,8388608,5.16788,2.88342
131072,random,64,8,8388608,5.23439,2.84678
131072,random,64,9,8388608,5.16701,2.8839
131072,random,64,10,8388608,5.34844,2.78607
131072,random,64,11,8388608,5.25354,2.8364
131072,random,64,12,8388608,5.30813,2.80723
131072,random,64,13,8388608,5.19986,2.86569
131072,random,64,14,8388608,5.19325,2.86933
131072,random,64,15,8388608,5.17511,2.87939
131072,random,64,16,8388608,5.13557,2.90156
131072,random,64,17,8388608,5.1607,2.88743
