Size_KB,Run,Latency_ns,Bandwidth_GBps
256,27,2.17692,27.3803
256,28,2.18709,27.2529
256,29,2.17692,27.3803
256,30,2.17692,27.3803
256,31,2.18709,27.2529
256,32,2.18709,27.2529
256,33,2.18709,27.2529
256,34,2.17692,27.3803
256,35,2.18709,27.2529
256,36,2.17692,27.3803
256,37,2.19727,27.1267
256,38,2.20744,27.0017
256,39,2.18709,27.2529
256,40,2.18709,27.2529
512,1,2.20235,27.0641
512,2,2.17692,27.3803
512,3,2.18709,27.2529
512,4,2.18201,27.3164
512,5,2.18201,27.3164
512,6,2.17692,27.3803
512,7,2.17692,27.3803
512,8,2.18201,27.3164
512,9,2.17692,27.3803
512,10,2.17183,27.4444
512,11,2.17183,27.4444
512,12,2.18201,27.3164
512,13,2.18201,27.3164
512,14,2.17692,27.3803
512,15,2.17183,27.4444
512,16,2.17183,27.4444
512,17,2.18201,27.3164
512,18,2.17692,27.3803
512,19,2.18201,27.3164
512,20,2.18201,27.3164
512,21,2.18709,27.2529
512,22,2.16675,27.5088
512,23,2.18709,27.2529
512,24,2.17692,27.3803
512,25,2.18201,27.3164
512,26,2.18201,27.3164
512,27,2.17692,27.3803
512,28,2.16675,27.5088
512,29,2.18201,27.3164
512,30,2.18201,27.3164
512,31,2.17183,27.4444
512,32,2.18201,27.3164
512,33,2.16675,27.5088
512,34,2.18709,27.2529
512,35,2.18201,27.3164
512,36,2.18709,27.2529
512,37,2.17692,27.3803
512,38,2.16675,27.5088
512,39,2.17692,27.3803
512,40,2.18201,27.3164
1024,1,2.18709,27.2529
1024,2,2.16675,27.5088
1024,3,2.18201,27.3164
1024,4,2.17183,27.4444
1024,5,2.17946,27.3483
1024,6,2.17438,27.4123
1024,7,2.17946,27.3483
1024,8,2.17438,27.4123
1024,9,2.17946,27.3483
1024,10,2.17438,27.4123
1024,11,2.17438,27.4123
1024,12,2.17438,27.4123
1024,13,2.17946,27.3483
1024,14,2.17692,27.3803
1024,15,2.18201,27.3164
1024,16,2.17692,27.3803
1024,17,2.17946,27.3483
1024,18,2.17692,27.3803
1024,19,2.17946,27.3483
1024,20,2.17183,27.4444
1024,21,2.17692,27.3803
1024,22,2.16929,27.4766
1024,23,2.17946,27.3483
1024,24,2.18201,27.3164
1024,25,2.17183,27.4444
1024,26,2.16929,27.4766
1024,27,2.17183,27.4444
1024,28,2.16929,27.4766
1024,29,2.17946,27.3483
1024,30,2.17946,27.3483
1024,31,2.17438,27.4123
1024,32,2.17692,27.3803
1024,33,2.18201,27.3164
1024,34,2.17946,27.3483
1024,35,2.19218,27.1897
1024,36,2.17438,27.4123
1024,37,2.17438,27.4123
1024,38,2.17692,27.3803
1024,39,2.18201,27.3164
1024,40,2.17946,27.3483
2048,1,2.2138,26.9242
2048,2,2.2049,27.0329
2048,3,2.20617,27.0173
2048,4,2.20617,27.0173
2048,5,2.20744,27.0017
2048,6,2.20362,27.0485
2048,7,2.18582,27.2688
2048,8,2.18201,27.3164
2048,9,2.18709,27.2529
2048,10,2.18201,27.3164
2048,11,2.18328,27.3005
2048,12,2.18964,27.2213
2048,13,2.19854,27.111
2048,14,2.18836,27.2371
2048,15,2.17056,27.4605
2048,16,2.17438,27.4123
2048,17,2.17946,27.3483
2048,18,2.17565,27.3963
2048,19,2.17946,27.3483
2048,20,2.18328,27.3005
2048,21,2.17565,27.3963
2048,22,2.18964,27.2213
2048,23,2.17819,27.3643
2048,24,2.17565,27.3963
2048,25,2.17692,27.3803
2048,26,2.19981,27.0954
2048,27,2.17692,27.3803
2048,28,2.17438,27.4123
2048,29,2.17946,27.3483
2048,30,2.17438,27.4123
2048,31,2.17311,27.4283
2048,32,2.18582,27.2688
2048,33,2.18709,27.2529
2048,34,2.18201,27.3164
2048,35,2.17438,27.4123
2048,36,2.17819,27.3643
2048,37,2.17946,27.3483
2048,38,2.18074,27.3324
2048,39,2.17692,27.3803
2048,40,2.19091,27.2055
4096,1,2.1979,27.1189
4096,2,2.18391,27.2926
4096,3,1.93469,30.8084
4096,4,1.86475,31.9639
4096,5,1.85712,32.0952
4096,6,1.8603,32.0403
4096,7,1.86221,32.0075
4096,8,1.85712,32.0952
4096,9,1.86666,31.9312
4096,10,1.85331,32.1612
4096,11,1.86284,31.9966
4096,12,1.85585,32.1172
4096,13,1.86094,32.0294
4096,14,1.87302,31.8228
4096,15,1.8692,31.8878
4096,16,1.86539,31.953
4096,17,1.86157,32.0184
4096,18,1.86221,32.0075
4096,19,1.86412,31.9748
4096,20,1.86729,31.9203
4096,21,1.86221,32.0075
4096,22,1.87747,31.7474
4096,23,1.86602,31.9421
4096,24,1.86666,31.9312
4096,25,1.87047,31.8661
4096,26,1.86475,31.9639
4096,27,1.87429,31.8012
4096,28,1.87238,31.8336
4096,29,1.86984,31.8769
4096,30,1.86221,32.0075
4096,31,1.8762,31.7689
4096,32,1.86666,31.9312
4096,33,1.85776,32.0842
4096,34,1.88065,31.6937
4096,35,1.87302,31.8228
4096,36,1.8692,31.8878
4096,37,1.86157,32.0184
4096,38,1.85966,32.0513
4096,39,1.85649,32.1062
4096,40,1.87174,31.8444
8192,1,1.64159,36.3091
8192,2,1.6168,36.8659
8192,3,1.61076,37.0041
8192,4,1.61616,36.8804
8192,5,1.60758,37.0773
8192,6,1.60789,37.07
8192,7,1.61521,36.9022
8192,8,1.61266,36.9604
8192,9,1.6098,37.0261
8192,10,1.63333,36.4928
8192,11,1.61743,36.8514
8192,12,1.61743,36.8514
8192,13,1.62188,36.7503
8192,14,1.62474,36.6856
8192,15,1.61902,36.8152
8192,16,1.62284,36.7287
8192,17,1.63396,36.4786
8192,18,1.6222,36.7431
8192,19,1.62029,36.7863
8192,20,1.63364,36.4857
8192,21,1.62093,36.7719
8192,22,1.63492,36.4573
8192,23,1.62411,36.6999
8192,24,1.62538,36.6712
8192,25,1.62029,36.7863
8192,26,1.62188,36.7503
8192,27,1.62156,36.7575
8192,28,1.62474,36.6856
8192,29,1.62061,36.7791
8192,30,1.62474,36.6856
8192,31,1.6311,36.5426
8192,32,1.61616,36.8804
8192,33,1.45181,41.0554
8192,34,1.44641,41.2088
8192,35,1.45594,40.9389
8192,36,1.44259,41.3178
8192,37,1.44577,41.2269
8192,38,1.44672,41.1997
8192,39,1.448,41.1636
8192,40,1.45245,41.0374
16384,1,1.47883,40.3052
16384,2,1.44768,41.1726
16384,3,1.45038,41.0959
16384,4,1.46151,40.783
16384,5,1.46166,40.7786
16384,6,1.4437,41.2859
16384,7,1.43909,41.4182
16384,8,1.43735,41.4685
16384,9,1.58374,37.6355
16384,10,1.44768,41.1726
16384,11,1.33308,44.7121
16384,12,1.33419,44.6748
16384,13,1.33801,44.5474
16384,14,1.34007,44.4787
16384,15,1.34182,44.4208
16384,16,1.35962,43.8391
16384,17,1.34532,44.3053
16384,18,1.35883,43.8648
16384,19,1.34579,44.2896
16384,20,1.34182,44.4208
16384,21,1.34373,44.3577
16384,22,1.35374,44.0296
16384,23,1.34452,44.3315
16384,24,1.3415,44.4313
16384,25,1.33991,44.484
16384,26,1.3574,43.911
16384,27,1.35247,44.071
16384,28,1.34023,44.4734
16384,29,1.33944,44.4998
16384,30,1.33546,44.6322
16384,31,1.34039,44.4682
16384,32,1.38124,43.153
16384,33,1.2935,46.0801
