PageSize,Run,GBps,Time_ms
262144,8,2.13839,14.6138
262144,9,2.17601,14.3612
262144,10,2.17133,14.3921
262144,11,2.12609,14.6983
262144,12,2.13778,14.618
262144,13,2.11784,14.7556
262144,14,2.10932,14.8152
262144,15,2.10095,14.8742
262144,16,2.01683,15.4946
262144,17,2.04588,15.2746
262144,18,2.1193,14.7455
262144,19,2.1462,14.5606
262144,20,2.12464,14.7084
262144,21,2.14865,14.544
262144,22,1.99033,15.7009
262144,23,2.06354,15.1439
262144,24,2.02335,15.4447
262144,25,2.12084,14.7347
262144,26,2.0613,15.1603
262144,27,2.04537,15.2784
262144,28,2.07444,15.0643
262144,29,2.10462,14.8483
262144,30,2.09133,14.9426
262144,31,2.07727,15.0438
262144,32,2.07573,15.0549
262144,33,2.0714,15.0864
262144,34,2.07381,15.0689
262144,35,2.12959,14.6742
262144,36,2.08834,14.964
262144,37,2.11677,14.763
262144,38,1.78763,17.4812
262144,39,1.86733,16.7352
262144,40,2.01512,15.5077
524288,1,2.09467,29.8377
524288,2,2.08646,29.9551
524288,3,2.16839,28.8232
524288,4,2.14205,29.1777
524288,5,2.13617,29.258
524288,6,2.13665,29.2514
524288,7,2.14731,29.1061
524288,8,2.14532,29.1332
524288,9,2.17957,28.6754
524288,10,2.1648,28.871
524288,11,2.15775,28.9653
524288,12,2.17765,28.7006
524288,13,2.14165,29.1831
524288,14,2.14,29.2057
524288,15,2.16225,28.9051
524288,16,2.16725,28.8384
524288,17,2.16065,28.9265
524288,18,2.17109,28.7873
524288,19,2.15237,29.0377
524288,20,2.16333,28.8907
524288,21,2.14981,29.0723
524288,22,2.16292,28.8961
524288,23,2.16102,28.9215
524288,24,2.14039,29.2003
524288,25,2.11272,29.5827
524288,26,2.18027,28.6662
524288,27,2.15976,28.9385
524288,28,2.165,28.8684
524288,29,2.1711,28.7873
524288,30,2.1486,29.0887
524288,31,2.16368,28.886
524288,32,2.16597,28.8555
524288,33,2.14999,29.07
524288,34,2.16434,28.8771
524288,35,2.17344,28.7562
524288,36,2.13313,29.2997
524288,37,2.16186,28.9103
524288,38,2.16709,28.8405
524288,39,2.17532,28.7315
524288,40,2.15767,28.9664
2097152,1,0.979554,255.218
2097152,2,2.13127,117.301
2097152,3,2.13281,117.216
2097152,4,2.16344,115.557
2097152,5,2.14959,116.301
2097152,6,2.1531,116.112
2097152,7,2.11683,118.101
2097152,8,2.13088,117.322
2097152,9,2.17289,115.054
2097152,10,2.14604,116.493
2097152,11,2.16135,115.668
2097152,12,2.1524,116.149
2097152,13,2.16466,115.491
2097152,14,2.15019,116.269
2097152,15,2.12442,117.679
2097152,16,2.13594,117.044
2097152,17,1.95775,127.698
2097152,18,1.8493,135.186
2097152,19,1.98788,125.762
2097152,20,1.97913,126.318
2097152,21,1.90529,131.214
2097152,22,1.99119,125.553
2097152,23,1.99864,125.085
2097152,24,1.76317,141.79
2097152,25,1.99328,125.421
2097152,26,1.97369,126.666
2097152,27,1.99443,125.349
2097152,28,2.15115,116.217
2097152,29,2.12293,117.762
2097152,30,2.14645,116.471
2097152,31,2.14362,116.625
2097152,32,2.12014,117.917
2097152,33,2.13184,117.269
2097152,34,2.16031,115.724
2097152,35,2.15076,116.238
2097152,36,2.15975,115.754
2097152,37,2.16775,115.327
2097152,38,2.15681,115.912
2097152,39,2.16196,115.636
2097152,40,2.15355,116.088
